id,sid1,sid2,sentence1,sentence2,is_duplicate
423,847,848,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,There is no boy standing in front of the blue building in the space reserved for handicapped people,0
424,849,850,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,A boy is standing in front of the blue building in the space reserved for handicapped people,0
425,851,852,The Jockeys are riding horses on the field which is completely green,The Jockeys are horsing on the completely green field,1
426,853,854,"The Jockeys are racing horses on the field, which is completely green","The Jockeys are competing on the field, which is completely green",1
427,855,856,The green field for horse races is completely full of Jockeys,"The Jockeys are racing horses on the field, which is completely green",0
428,857,858,Some furious racers on the green grass are yelling at the horses jumping an obstacle,"The Jockeys are racing horses on the field, which is completely green",0
429,859,860,Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are slowing down their horses on the field, which is completely green",0
430,861,862,Some horses are racing furiously over the green grass and jumping an obstacle,The green field for horse races is completely full of Jockeys,0
431,863,864,A woman is wearing sunglasses of large size and is holding newspapers in both hands,A woman is wearing large sunglasses and is holding newspapers in both hands,1
432,865,866,A woman is wearing sunglasses of large size and is holding newspapers in both hands,There is no woman wearing sunglasses of large size and holding newspapers in both hands,0
433,867,868,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,0
434,869,870,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,The woman is wearing sunglasses of large size and is holding newspapers in both hands,0
435,871,872,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,There is no woman wearing sunglasses of large size and holding newspapers in both hands,0
436,873,874,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers,A woman is wearing sunglasses of large size and is holding newspapers in both hands,0
437,875,876,A person who is practicing snowboarding falls from the air,A person who is practicing snowboarding jumps into the air,0
438,877,878,The snowboarder is leaping over white snow,A leap over white snow is greatly appealing to the snowboarders,0
439,879,880,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air,0
440,881,882,A practicing jumper is tossing a person's snowboard into the air,The snowboarder is leaping over white snow,0
441,883,884,The snowboarder is leaping over white snow,A person who is practicing snowboarding jumps into the air,1
442,885,886,"A dog is near a ball colored in red, which is in the air",A dog is near the red ball in the air,1
443,887,888,A dog is near the red ball in the air,A dog is far from the red ball in the air,0
444,889,890,A dog jumped in the air to catch a red ball,A dog jumper for the red ball in the air,1
445,891,892,"A dog, which is small, is playing tirelessly on the green grass",A small dog is playing on the green grass,1
446,893,894,"A dog, which is small, is playing on the green grass","A dog, which is small, is running out of the green grass",0
447,895,896,"A dog, which is small, is playing on the green grass",A small kid is playing with a green toy dog on the grass,0
448,897,898,"A dog, which is small, is running out of the green grass",A dog is near the red ball in the air,0
449,899,900,A dog is near the red ball in the air,A small kid is playing with a green toy dog on the grass,0
450,901,902,"A dog, which is small, is playing on the green grass","A dog is near a ball colored in red, which is in the air",0
451,903,904,A dog is far from the red ball in the air,"A dog, which is small, is playing on the green grass",0
452,905,906,A dog is near the red ball in the air,"A dog, which is small, is playing on the green grass",0
453,907,908,A man is riding a motorbike in the event related to motocross,A motocyclist is riding at the motocross related event,1
454,909,910,The person is riding a motorbike on a sandy track,A man is riding a motorbike in the event related to motocross,0
455,911,912,There is no person riding a motorbike in the event related to motocross,The person is riding a motorbike on a sandy track,0
456,913,914,A person is riding a motorbike in the event related to motocross,The person isn't riding a motorbike on a sandy track,0
457,915,916,A motorbike rider is jumping over a person on a sandy track,A person is riding a motorbike in the event related to motocross,0
458,917,918,The young girl with a pink shirt is peacefully lying on the grass,The young girl with a pink shirt is relaxing on the grass,1
459,919,920,A girl is wearing a pink shirt with white writing on it and is lying in the grass,The young girl with a pink dyed shirt with white writing on it sitting in the grass,1
460,921,922,The young girl with a pink shirt is peacefully lying on the grass,A girl is naked and is standing on the grass,0
461,923,924,A dog of large size is running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,1
462,925,926,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,0
463,927,928,A large dog is running on the grass with a tennis ball in its mouth,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,0
464,929,930,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass","A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",0
465,931,932,"A large, gray ball is hitting a running dog, which is carrying some grass in its mouth",A large dog is running on the grass with a tennis ball in its mouth,0
466,933,934,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A big gray dog is running on the grass with a ball in its mouth,1
467,935,936,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",There is no large dog running on the grass with a tennis ball in its mouth,0
468,937,938,A large tennis ball is being used to teach a dog to run in the grass and catch it with its mouth,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",0
469,939,940,A man is opening a small package that contains headphones,A man is opening a package that contains headphones,1
470,941,942,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,0
471,943,944,There is no woman riding a horse,A woman is riding a horse,0
472,945,946,A man who is wearing headphones is opening a package ,A woman is riding a horse,0
473,947,948,A woman is riding a horse,A man is opening a package that contains headphones,0
474,949,950,A man is opening a package that contains headphones,A man who is wearing headphones is opening a package ,0
475,951,952,A man is singing and playing the guitar,A man is singing a song and playing the guitar,1
476,953,954,A man is singing a song and playing the guitar,A man is opening a package that contains headphones,0
477,955,956,A man is opening a package that contains headphones,There is no man singing and playing the guitar,0
478,957,958,A man is singing and playing the guitar,A man who is wearing headphones is opening a package ,0
479,959,960,A dog is riding a skateboard in a park,"In the park, a dog is riding a skateboard",1
480,961,962,A dog is riding a skateboard,There is no dog riding a skateboard,0
481,963,964,A dog is riding a skateboard,There is no dog riding a skateboard,0
482,965,966,There is no dog riding a skateboard,A dog is riding a skateboard,0
483,967,968,A fish is hunting for a turtle in the sea,A sea turtle is hunting for fish,0
484,969,970,The turtle is following the red fish,The red fish is being followed by the turtle,1
485,971,972,A sea turtle is hunting for fish,The turtle isn't following the fish,0
486,973,974,The turtle is following the fish,A sea turtle is hunting for food,0
487,975,976,A woman is dipping a shrimp in batter,The car is being driven by a man,0
488,977,978,A woman is dipping a shrimp in batter,A man is driving a car,0
489,979,980,There is no man playing a guitar,A man is playing a guitar,0
490,981,982,There is no man playing a piano,A man is playing a guitar,0
491,983,984,A man is playing a guitar under a windows,A man is playing a piano,0
492,985,986,There is no man playing a guitar,A man is playing a piano,0
493,987,988,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a large bowl,1
494,989,990,A woman is cracking some eggs into a container,A woman is adding eggs to a bowl,1
495,991,992,A woman is cracking some eggs outside a bowl,A woman is adding ingredients to a bowl,0
496,993,994,There is no one slicing a carrot,Nobody is slicing a carrot,1
497,995,996,There is no woman slicing a potato,A woman is slicing a potato,0
498,997,998,A woman is cooking prawns,A woman is boiling shrimps,1
499,999,1000,A woman is boiling shrimps,A woman is arranging her hair,0
500,1001,1002,A woman is boiling shrimps,There is no woman combing her hair,0
501,1003,1004,A woman is not boiling shrimps,A woman is combing her hair,0
502,1005,1006,A man and a woman are hiking through a wooded area,A man and a woman are walking through a wooded area,1
503,1007,1008,A man and a woman are walking together through wooded areas where a man was killed,A man and a woman are walking through a wooded area where somebody got killed,1
504,1009,1010,A man and a woman are walking together through the woods,A man and a woman are walking through a desert area,0
505,1011,1012,A man is making a speech on a podium,A man is speaking on a podium,1
506,1013,1014,A man is speaking on a podium,There is no man speaking on a podium,0
507,1015,1016,A man is tanking on a stage in front of a crowd,A man is speaking on a stage,0
508,1017,1018,A man is speaking on a podium,There is no man speaking on a stage,0
509,1019,1020,A man is happy about making a speech on a podium,A man is happy about speaking on a stage,1
510,1021,1022,A woman is talking on a telephonic device,A woman is talking on a telephone,1
511,1023,1024,A woman is not talking on a telephone,A woman is talking on a telephone,0
512,1025,1026,A woman is talking on a telephonic device,Two boys are talking on the phone,0
513,1027,1028,A woman is not talking on a telephone,Two boys are talking on the phone,0
514,1029,1030,A woman is talking on a telephone,Two boys are talking on the phone,0
515,1031,1032,A monkey is wading through a marsh,A monkey is wading through a river,0
516,1033,1034,A small monkey is walking in the river,A monkey is wading through a marsh,0
517,1035,1036,A monkey is wading through a river,A monkey is walking through water,1
518,1037,1038,A small monkey is walking through water,There is no monkey wading through a marsh,0
519,1039,1040,A man is slicing a tomato,There is no man slicing a tomato,0
520,1041,1042,A man is slicing a red tomato,A man is slicing a bun,0
521,1043,1044,A man is cutting a bun,A man is slicing a tomato,0
522,1045,1046,A woman is dancing and singing with other women,A woman is performing in the rain,0
523,1047,1048,There is no woman dancing and singing in the rain,A woman is dancing and singing with other women,0
524,1049,1050,A woman is removing the peel of a potato,A woman is peeling a potato,1
525,1051,1052,A man is slicing a red tomato,A woman is slicing a tomato,0
526,1053,1054,A woman is peeling a potato,A man is slicing a red tomato,0
527,1055,1056,A woman is removing the peel of a potato,A woman is slicing a tomato,0
528,1057,1058,A woman is slicing a tomato,There is no woman peeling a potato,0
529,1059,1060,A woman is amalgamating eggs,A woman is mixing eggs,1
530,1061,1062,The hungry woman is eating,A woman is mixing eggs,0
531,1063,1064,The woman is eating,A woman is mixing eggs,0
532,1065,1066,A band is performing on a stage,A band is playing onstage,1
533,1067,1068,There is no man mixing,A man is mixing,0
534,1069,1070,A man is arranging the garden,A man is mowing a lawn,0
535,1071,1072,A man is mixing,A man is arranging the garden,0
536,1073,1074,A man is mixing,A man is not mowing a lawn,0
537,1075,1076,A man is shaking a drink,A man is mowing a lawn,0
538,1077,1078,There is no man mixing,A man is mowing a lawn,0
539,1079,1080,A man is walking in a yard,A man is walking in the garden,1
540,1081,1082,A man is dancing,A man is walking in a yard,0
541,1083,1084,There is no man walking outside,A man is dancing,0
542,1085,1086,A man is moving gracefully,A man is walking outside,0
543,1087,1088,A black cat is swinging on a fan,A black cat is playing on a fan,1
544,1089,1090,A black cat is swinging on a fan,A cat is stuck on a moving ceiling fan,0
545,1091,1092,A cat is stuck on a moving ceiling fan,There is no cat swinging on a fan,0
546,1093,1094,A man is playing flute,There is no man playing flute,0
547,1095,1096,A man is playing flute,There is no man playing soccer,0
548,1097,1098,A man is making music with a flute,A man is playing soccer,0
549,1099,1100,A man is playing flute,A man is playing soccer,0
550,1101,1102,A person is performing a card trick,A person is doing a trick with some cards,1
551,1103,1104,A person is performing a card trick,A man is frying a tortilla,0
552,1105,1106,A boy is spanking a man with a plastic sword,A boy is hitting a man with a toy sword,1
553,1107,1108,A boy is spanking a man with a plastic sword,A boy is spanking a woman with a plastic sword,0
554,1109,1110,A boy is whacking a man with a sword,A man is being hit by a kid with a weapon,1
555,1111,1112,A man is whacking a boy with a sword,A boy is spanking a man with a plastic sword,0
556,1113,1114,A boy is whacking a man with a sword,A boy is spanking a woman with a plastic sword,0
557,1115,1116,A boy is whacking a man with a sword,A man is spanking a boy with a plastic sword,0
558,1117,1118,The lady is measuring the ankle of another woman,A woman's ankle is being measured by another woman,1
559,1119,1120,The woman is measuring a man,The lady is measuring the ankle of another woman,0
560,1121,1122,There is no man making a phone call,A man is making a phone call,0
561,1123,1124,A man is talking on a cell phone,A man is making a call on a cell phone,1
562,1125,1126,A man is hanging up the phone,A man is making a phone call,0
563,1127,1128,There is no dog rolling from side to side,A dog is rolling from side to side,0
564,1129,1130,There is no puppy rolling,A puppy is repeatedly rolling from side to side on its back,0
565,1131,1132,A dog is rolling from side to side,There is no puppy rolling,0
566,1133,1134,A small dog is rolling on its back,A puppy is repeatedly rolling from side to side on its back,1
567,1135,1136,A machine is sharpening a pencil,A pencil is being sharpened,1
568,1137,1138,A machine is sharpening a knife,A machine is sharpening a pencil,0
569,1139,1140,The machine is not shaving a pencil,The machine is shaving the end of a pencil,0
570,1141,1142,A machine is sharpening a knife,The machine is shaving the end of a pencil,0
571,1143,1144,There is no man playing a keyboard,A man is playing a keyboard,0
572,1145,1146,A man is playing a keyboard,A pianist is playing the keyboard,1
573,1147,1148,A person is not playing the keyboard,A man is playing a keyboard,0
574,1149,1150,A man is playing a keyboard in a park,A person is playing the keyboard in a park,1
575,1151,1152,A man is rinsing a large steak,A man is rinsing a large piece of meat with water,1
576,1153,1154,Nobody is rinsing a steak with water,A person is rinsing a steak with water,0
577,1155,1156,Nobody is rinsing a steak with water,A man is rinsing a large steak,0
578,1157,1158,A person is chopping a red onion,Someone is chopping a red onion,1
579,1159,1160,A person is riding an old motorcycle,A person is riding a vintage motorcycle,1
580,1161,1162,A person is riding a motorcycle,A person is standing near a motorcycle,0
581,1163,1164,A person is chopping an onion,A person is riding an old motorcycle,0
582,1165,1166,There is no man screaming,A man is crying,0
583,1167,1168,Butter is being chopped into a container by a man,A man is chopping butter into a container,1
584,1169,1170,A prawn is being cut by a woman,A woman is cutting shrimps,0
585,1171,1172,A man is chopping butter into a container,A prawn is being cut by a woman,0
586,1173,1174,A woman is not cutting shrimps,A man is chopping butter into a container,0
587,1175,1176,Butter is being chopped into a container by a man,A woman is cutting shrimps,0
588,1177,1178,Some men are sawing,Men are sawing,1
589,1179,1180,Some men are sawing,There are no men sawing,0
590,1181,1182,Men are sawing logs,There are no men sawing,0
591,1183,1184,Some men are sawing,Women are sawing logs,0
592,1185,1186,A woman is washing her feet,A woman is brushing her feet,0
593,1187,1188,A woman is chopping an onion,A woman is washing her feet,0
594,1189,1190,A woman is brushing her feet,A woman is chopping an onion,0
595,1191,1192,A man is playing a guitar,A man is not playing a guitar,0
596,1193,1194,A man is playing a guitar,A musician is playing a keyboard,0
597,1195,1196,There is no man playing a keyboard,A man is playing a guitar,0
598,1197,1198,A man is playing a guitar,A man is playing a keyboard,0
599,1199,1200,A man is laughing,A man is spitting,0
600,1201,1202,There is no man spitting,A man is talking,0
601,1203,1204,A man is spreading dough,Dough is being spread by a man,1
602,1205,1206,A man is spreading dough,There is no woman slicing meat with a knife,0
603,1207,1208,A woman is slicing meat with a knife,A man is lumping dough,0
604,1209,1210,A baby is laughing,A baby is crying,0
605,1211,1212,A man is doing physical activity,A baby is laughing,0
606,1213,1214,A man is exercising,A happy baby is laughing,0
607,1215,1216,A baby is crying,A man is exercising,0
608,1217,1218,Three men are jumping off a tall wall,Three men are jumping off a big wall,1
609,1219,1220,Three men are jumping on a wall,Three men are jumping off a wall,0
610,1221,1222,"Three young men are running, jumping and kicking near a vending machine",Three men are jumping on a wall,0
611,1223,1224,Three men are jumping off a wall,"Three young men are running, jumping and kicking near a vending machine",0
612,1225,1226,A deer is standing inside a fence,A deer is jumping over a cyclone fence,0
613,1227,1228,The deer is jumping over the low fence,A deer is jumping over a cyclone fence,0
614,1229,1230,A deer is jumping over a cyclone fence,The deer is not jumping over the fence,0
615,1231,1232,A deer is jumping over a wall,The deer is jumping over the fence,0
616,1233,1234,A deer is standing inside a fence,The deer is jumping over the fence,0
617,1235,1236,The oil is being stirred by a man,The man is stirring oil,1
618,1237,1238,The man is stirring the sauce for the chicken,The man is cooking sauce for the meat,1
619,1239,1240,The man is stirring oil,The man is cooking sauce for the meat,0
620,1241,1242,The man is stirring oil,The man is not stirring the sauce for the chicken,0
621,1243,1244,A man is playing guitar,There is a man singing a guitar,1
622,1245,1246,Three men are practicing karate in a field,Three men are practicing karate outdoors,1
623,1247,1248,Three men are practicing karate in a field,Three men are practicing karate in a gym,0
624,1249,1250,Three boys in karate costumes aren't fighting,Three men are practicing karate in a field,0
625,1251,1252,Some women are holding each other in a circle and dancing,A few women are holding each other and dancing together,0
626,1253,1254,Two men are playing table tennis,Two men are playing ping pong,1
627,1255,1256,Two men are playing table football,Two men are playing table tennis,0
628,1257,1258,Some women are holding each other in a circle and dancing,Two men are playing table tennis,0
629,1259,1260,Two men are playing table tennis,A few women are holding each other and dancing together,0
630,1261,1262,There is no woman cutting broccoli,A woman is cutting broccoli,0
631,1263,1264,A woman is planting some flowers,A woman is cutting some flowers,0
632,1265,1266,A woman is cutting some plants,A woman is cutting broccoli,0
633,1267,1268,A woman is cutting some flowers,There is no woman cutting broccoli,0
634,1269,1270,A woman is cutting a white onion,A woman is cutting an onion,1
635,1271,1272,A woman is cutting an onion,There is no woman cutting an onion,0
636,1273,1274,There is no woman cutting an onion,A horse is standing,0
637,1275,1276,A white horse is standing,A woman is cutting an onion,0
638,1277,1278,A horse is running,A woman is cutting an onion,0
639,1279,1280,A cat is playing a piano,A cat is playing a keyboard,1
640,1281,1282,A man is playing two keyboards,There is no man playing two keyboards,0
641,1283,1284,A man is playing two keyboards,There is no cat playing a keyboard,0
642,1285,1286,The men are acting on a stage,The men are performing on stage,1
643,1287,1288,Two men are leaving the stage,The men are performing on stage,0
644,1289,1290,The men are acting on a stage,Mimes are performing on a stage,0
645,1291,1292,Two men are leaving the stage,Mimes are performing on a stage,0
646,1293,1294,The men are performing on stage,Mimes are performing on a small stage,0
647,1295,1296,A man is dropping a tree,A man is carrying a tree,0
648,1297,1298,A man is picking up a tree,A tree is being picked up by a man,1
649,1299,1300,A man is planting a tree,A man is picking up a tree,0
650,1301,1302,A man is picking up a tree,A man is dropping a tree,0
651,1303,1304,A man is playing the guitar,There is no man playing the guitar,0
652,1305,1306,A person is listening to a trumpet playing,A person is playing a trumpet,0
653,1307,1308,A man is playing the guitar,A person is listening to a trumpet playing,0
654,1309,1310,A person is playing a trumpet,A man is passionately playing the guitar,0
655,1311,1312,A person is playing a trumpet,There is no man playing the guitar,0
656,1313,1314,A man is playing the guitar owner,A person is playing a trumpet,0
657,1315,1316,"A badger, which is shrewd, is digging the earth",A badger is shrewdly digging the earth,1
658,1317,1318,"A badger, which is shrewd, is digging the earth",The badger is burrowing a hole,0
659,1319,1320,A badger is shrewdly digging the earth,The badger isn't burrowing a hole,0
660,1321,1322,Some liquid is being poured into a pan by a man,A man is pouring liquid into a pot,1
661,1323,1324,A man is pouring liquid into a pot,There is no man pouring liquid into a pot,0
662,1325,1326,The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot,0
663,1327,1328,A man is pouring liquid into a pot,The chef is carefully drying the oil from the pan,0
664,1329,1330,The man is operating a stenograph,The man isn't operating a stenograph,0
665,1331,1332,The man is cautiously operating a stenograph,A man is typing on a machine used for stenography,1
666,1333,1334,A snake is being fed a mouse by a man,One man is feeding a mouse to the snake,1
667,1335,1336,A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,0
668,1337,1338,No snake is being fed a mouse by a man,The man is cautiously feeding a mouse to the snake,0
669,1339,1340,A guy is cheerfully playing with the footbag,A guy is cheerfully playing with a footbag,1
670,1341,1342,The man isn't playing the piano,The man is playing a piano,0
671,1343,1344,The man is playing a piano,There is a guy cheerfully playing with a footbag,0
672,1345,1346,The man is playing a piano,A guy is cheerfully playing with a footbag,0
673,1347,1348,A man is mixing a few ingredients in a bowl,Some ingredients are being mixed in a bowl by a man,1
674,1349,1350,A person is bowling the ingredients to the man at the mixer,Some ingredients are being mixed in a bowl by a person,0
675,1351,1352,A woman is breaking two eggs in a bowl,There is no woman breaking eggs in a bowl,0
676,1353,1354,A woman is breaking two eggs in a bowl,A woman is bowling two eggs to a break dancer ,0
677,1355,1356,Some ingredients are being mixed in a bowl by a person,A woman is bowling two eggs to a break dancer ,0
678,1357,1358,A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person,0
679,1359,1360,The girl is recklessly jumping onto a car,The girl is recklessly jumping onto a vehicle,1
680,1361,1362,The girl is recklessly jumping onto a car,The girl isn't jumping onto the car recklessly,0
681,1363,1364,The girl is recklessly jumping onto a car,There is no girl jumping into the car,0
682,1365,1366,A girl is on a jumping car,The girl is recklessly jumping onto a car,0
683,1367,1368,The girl isn't jumping onto the car recklessly,One girl is jumping on the car,0
684,1369,1370,A car is riskily jumping over a girl,One girl is jumping on the car,0
685,1371,1372,A woman is throwing a potato peel,One woman is peeling a potato,0
686,1373,1374,The potato is being peeled by a woman,The potato isn't being peeled by a woman,0
687,1375,1376,One woman is peeling a potato,The potato isn't being peeled by a woman,0
688,1377,1378,There is no woman peeling a potato,The potato is being peeled by a woman,0
689,1379,1380,The guitar is being played by the man,The guitar is being played by nobody,0
690,1381,1382,A boat is sailing peacefully over the water,The guitar is being played by a man,0
691,1383,1384,The guitar is being played by nobody,A boat is sailing peacefully over the water,0
692,1385,1386,A boat is sailing quietly over the water,The guitar is being played by the man,0
693,1387,1388,A boat's sail is being reflected by the peaceful water,The guitar is being played by the man,0
694,1389,1390,The man is pouring oil on a few tomatoes,One person pours oil on a few tomatoes,1
695,1391,1392,The man is pouring some oil on the tomatoes,Somebody is pouring tomato oil on the man,0
696,1393,1394,The man is pouring some oil on the tomatoes,A man isn't pouring oil on the tomatoes.,0
697,1395,1396,There is no milk being drunk by a cat,The milk is being drunk by a cat,0
698,1397,1398,A kitten is drinking fresh milk,There is no kitten drinking milk,0
699,1399,1400,There is no kitten drinking milk,The milk is being drunk by a cat,0
700,1401,1402,A kitten is drinking fresh milk,There is no milk being drunk by a cat,0
701,1403,1404,A kitten drinks fresh milk,The milk is being drunk by a cat,1
702,1405,1406,A frog is being held carelessly by a man,A man is carelessly holding a frog,1
703,1407,1408,A man is carelessly holding a frog,A man is carelessly dropping a frog,0
704,1409,1410,A man is emptying a container made of plastic,A frog is being held carelessly by a man,0
705,1411,1412,A man is emptying a container made of plastic,A man is carelessly dropping a frog,0
706,1413,1414,A man is eating onion slices,A man is slicing an onion,0
707,1415,1416,No onion is being cut by a man,An onion is being cut by a man,0
708,1417,1418,An onion is being cut by a man,A man is eating onion slices,0
709,1419,1420,A man is recklessly riding a horse,The elephant isn't being ridden by the woman,0
710,1421,1422,A man is recklessly riding a horse,The elephant is being ridden by the woman,0
711,1423,1424,Somebody is playing the piano,The piano is being played by someone,1
712,1425,1426,The piano is being played by someone,Nobody is feeding an animal,0
713,1427,1428,One man is turning on the microwave,One man is turning off the microwave,0
714,1429,1430,One man is turning on the microwave,There is no man is pushing the buttons of a microwave,0
715,1431,1432,One man is turning on the microwave,A man is pushing the start button of a microwave,1
716,1433,1434,A flute is being played by a girl,A flute is being put away by a girl,0
717,1435,1436,A flute is being played by a girl,A girl is making a flute which is not to be played,0
718,1437,1438,One woman is practicing with a flute,One woman is playing a flute,1
719,1439,1440,A boy is happily playing the piano,One boy is happily playing a piano,1
720,1441,1442,The boy isn't playing the piano happily,A boy is happily playing the piano,0
721,1443,1444,A boy is happily playing the piano,A piano isn't being played by a man,0
722,1445,1446,A boy is happily playing the piano,The piano player is being a tough man,0
723,1447,1448,A piano is being played by a man,The play is about a happy boy playing the piano,0
724,1449,1450,A boy is happily playing the piano,A piano is being played by a man,0
725,1451,1452,A cheetah is quickly running behind its prey.,The cheetah is quickly chasing its prey,1
726,1453,1454,A cheetah is quickly running behind its prey.,There is no cheetah quickly running behind its prey,0
727,1455,1456,A cheetah is quickly running behind its prey.,A prey is quickly running behind the cheetah,0
728,1457,1458,A cheetah is chasing its prey across a field,There is no cheetah quickly running behind its prey,0
729,1459,1460,A cheetah is shaken off by its prey across a field.,A cheetah is quickly running behind its prey.,0
730,1461,1462,A lion is pacing tiredly in a pen,The lion is pacing tiredly in the pen,1
731,1463,1464,A lion is tiring the whole pen by pacing,A lion is pacing tiredly in a pen,0
732,1465,1466,A lion is slowly walking,A lion is slowly moving around,1
733,1467,1468,There is no man playing the guitar loudly,A flute is being played by a man,0
734,1469,1470,The loud man is not allowed to play the guitar,A flute is being played by a man,0
735,1471,1472,A man is playing the guitar loudly,A flute is being played by a man,0
736,1473,1474,The person isn't dicing up an orange pepper,The person is dicing up a pepper which is orange,0
737,1475,1476,The person is dicing up a pepper which is orange,The orange colored dices are being cast by a cook to win the pepper,0
738,1477,1478,Some bells are ringing near a cook slicing peppers,A cook is slicing some bell peppers,0
739,1479,1480,There is no cook slicing some bell peppers,The person is dicing up a pepper which is orange,0
740,1481,1482,A cook is slicing some bell peppers,An orange pepper is being diced up by a person,1
741,1483,1484,The person isn't dicing up an orange pepper,A cook is slicing some bell peppers,0
742,1485,1486,The person is dicing up a pepper which is orange,A cook is slicing some bell peppers,1
743,1487,1488,Some tofu is being sliced by one woman,A woman is slicing tofu,1
744,1489,1490,Tofu is being sliced by a woman,Tofu isn't being sliced by a woman,0
745,1491,1492,A girl is cutting butter into two pieces,Some tofu is being sliced by one woman,0
746,1493,1494,"The girl, who is little, is combing her hair into a pony tail.","The girl, who is little, is ruffling her hair",0
747,1495,1496,A girl is combing the hair of a little pony's tail,"The girl, who is little, is combing her hair into a pony tail.",0
748,1497,1498,One man is sitting steadily on the chair,One man is sitting on the chair,1
749,1499,1500,"The girl, who is little, is combing her hair into a pony tail.",One man is sitting steadily on the chair,0
750,1501,1502,"The girl, who is little, is carefully combing her hair into a pony tail",One man is sitting on the chair,0
751,1503,1504,One man is sitting on the chair,"The girl, who is little, is combing her hair into a pony tail.",0
752,1505,1506,The man is carelessly smearing butter on a slice of garlic bread,The man isn't smearing butter on bread ,0
753,1507,1508,A man is spreading butter on a piece of bread which is big,"A piece of bread, which is big, is having butter spread upon it by a man",1
754,1509,1510,A man is removing the butter from a piece of bread which is big,A man is removing butter from a big piece of bread,1
755,1511,1512,The parrot is talking into the microphone,There is no parrot speaking,0
756,1513,1514,A parrot is speaking,The parrot is silent in front of the microphone,0
757,1515,1516,Some kittens are hungry,Some kittens are eating,0
758,1517,1518,A man is eating near the kittens,Some kittens are eating,0
759,1519,1520,The food on the trays isn't being eaten by the kittens,The food on the trays is being eaten by the kittens,0
760,1521,1522,The kittens are eating the food on the trays,Some kittens are eating from the trays,1
761,1523,1524,The food on the trays isn't being eaten by the kittens,Some kittens are eating,0
762,1525,1526,Some kittens are hungry,The food on the trays is being eaten by the kittens,0
763,1527,1528,A person is singing and playing the guitar,The singer is playing the guitar in front of a person,0
764,1529,1530,A man is putting away a guitar,A person is singing and playing the guitar,0
765,1531,1532,Some animals are playing wildly in the water,A few animals are playing in the water,1
766,1533,1534,A few animals are playing in the water,Nobody is playing ping pong,0
767,1535,1536,Two people are playing ping pong,A few animals are out of the water,0
768,1537,1538,Two people are playing ping pong,A few animals are playing in the water,0
769,1539,1540,The windows are being polished by a man,The windows are being cleaned by a man,1
770,1541,1542,The windows are being cleaned by a man,There is no window being cleaned by a man,0
771,1543,1544,The man is driving a car,The windows are being polished by a man,0
772,1545,1546,The man is driving a car,There is no window being cleaned by a man,0
773,1547,1548,The windows are being cleaned by a man,The man is driving a car,0
774,1549,1550,The woman is pouring oil into a skillet,The skillet is being oiled by a woman who is pouring some water,0
775,1551,1552,The woman is pouring oil into a skillet,A chimp is angrily kicking a target,0
776,1553,1554,The baby is being put into a trash can by a woman,A woman is putting the baby into a trash can,1
777,1555,1556,There is no baby being put into a trash can by a woman,The baby is being put into a trash can by a woman,0
778,1557,1558,The baby is being put into a trash can by a woman,A person is putting meat into a skillet carelessly,0
779,1559,1560,A person is taking away the meat in the skillet,The baby is being put into a trash can by a woman,0
780,1561,1562,A person is putting meat into a skillet,There is no baby being put into a trash can by a woman,0
781,1563,1564,The baby is being put into a trash can by a woman,A person is putting meat into a skillet,0
782,1565,1566,One small child is greedily drinking water from the cup,One small child is thirstily drinking water from the cup,1
783,1567,1568,The kitten is eagerly drinking some milk from the bowl,One small child is greedily drinking water from the cup,0
784,1569,1570,The kitten is eagerly drinking some milk from the bowl,One small child is filling the cup with water,0
785,1571,1572,The band is singing ,The band isn't singing,0
786,1573,1574,The singer is leaving the band,The band is singing ,0
787,1575,1576,A woman is putting on makeup carefully,The band isn't singing,0
788,1577,1578,A woman is putting on makeup carefully,The band is singing ,0
789,1579,1580,"The woman is happily playing a guitar, which is acoustic, and singing",The woman is joyfully playing an acoustic guitar and singing,1
790,1581,1582,The singer is playing the guitar at an acoustic concert for a woman,"The woman is playing a guitar, which is acoustic, and singing",0
